English,Pinglish,Farsi,Category,Difficulty
hello/hi,salām,سلام,Greetings,
Mrs./Miss,khānom,خانم,Greetings,
Mr.,āqā,آقا,Greetings,
Good morning,sob bekheīr,صبح بخیر,Greetings,
Good night,shab bekheīr,شب بخیر,Greetings,
Good bye,khodā hāfez,خداحافظ,Greetings,
How are you? (formal),hāle shomā chetor ast?,حال شما چطور است؟,Greetings,
How are you? (colloquial/familiar),hāle shomā chetore?,حال شما چطوره؟,Greetings,
Thank you,mercī,,Greetings,
Thank you,motshakeram,متشکرم,Greetings,
(and) how are you? (formal),shomā chetor hastīd?,شما چطور هستید؟,Greetings,
(and) how are you? (colloquial/familiar),shomā chetorīn?,شما چطورین؟,Greetings,
(and) how are you? (colloquial/familiar),to chetorī?,تو چطوری؟,Greetings,
"I am fine, too. (formal)",man ham khūb hastam,من هم خوب هستم,Greetings,
"I am fine, too. (colloquial/familiar)",manam khūbam,منم خوبم,Greetings,
Excuse me,bebakhshīd,ببخشید,Greetings,
I am John.,man jān hastam,من جان هستم,Introducing Yourself,
My name is John.,esm-e man jān ast.,اسم من جان است,Introducing Yourself,
What is your name? (formal),esm-e shomā chīst?,اسم شما چیست؟,Introducing Yourself,
What is your name? (colloquial),esm-e shomā chīye?,اسم شما چیه؟,Introducing Yourself,
Pleased to meet you.,khoshvaqtam,خوشوقتم,Introducing Yourself,
How old are you?,chand sāletone?,چند سالتونه؟,Introducing Yourself,
Where do you live?,kojā zendegī mīkonīd?,کجا زندگی می کنید؟,Introducing Yourself,
Where do you go to school?,kojā dars mīkonīd?,کجا درس می خوانید؟,Introducing Yourself,
What do you do for a living?,che kār mīkonīd? shoγletān chīst?,چه کار می کنید؟,Introducing Yourself,
What do you do for a living?,shoγletān chīst?,شغلتان چیست؟,Introducing Yourself,
college student,dāneshjo,دانشجو,Introducing Yourself,
professor,ostād,استاد,Introducing Yourself,
teacher,moalem,معلم,Introducing Yourself,
doctor,doktor,دکتر,Introducing Yourself,
engineer,mohandes,مهندس,Introducing Yourself,
dentist,dandānpezeshk,دندانپزشک,Introducing Yourself,
journalist,roznāme negār,روزنامه نگار,Introducing Yourself,
pre-college student,dānesh āmoz,دانش آموز,Introducing Yourself,
architect,memār/ārshītekt,معمار/آرشیتکت,Introducing Yourself,
lawyer,vakīl,وکیل,Introducing Yourself,
nurse,parastar,پرستار,Introducing Yourself,
to live,zendegī kardan,زندگی کردن,Introducing Yourself,
to introduce,moarefī kardan,معرفی کردن,Introducing Yourself,
to count,shomordan,شمردن,Introducing Yourself,
Zero,sefr,۰,Numbers 1-100,
One,yek,١,Numbers 1-100,
Two,do,۲,Numbers 1-100,
Three,se,۳,Numbers 1-100,
Four,chāhār,۴,Numbers 1-100,
Five,panj,۵,Numbers 1-100,
Six,shesh,۶,Numbers 1-100,
Seven,haft,۷,Numbers 1-100,
Eight,hasht,۸,Numbers 1-100,
Nine,noh,۹,Numbers 1-100,
Ten,dah,۱۰,Numbers 1-100,
Eleven,yāzdah,۱۱,Numbers 1-100,
Twelve,davāzdah,۱۲,Numbers 1-100,
Thirteen,sizdah,۱۳,Numbers 1-100,
Fourteen,chāhārdah,۱۴,Numbers 1-100,
Fifteen,pānzdah,۱۵,Numbers 1-100,
Sixteen,shānzdah,۱۶,Numbers 1-100,
Seventeen,hefdah/hevdah,۱۷,Numbers 1-100,
Eighteen,hejdah/hezhdah,۱۸,Numbers 1-100,
Nineteen,nūzdah,۱۹,Numbers 1-100,
Twenty,bist,۲۰,Numbers 1-100,
Twenty One,bisto yek,۲۱,Numbers 1-100,
Twenty Two,bisto do,۲۲,Numbers 1-100,
Twenty Three,bisto se,۲٣,Numbers 1-100,
Twenty Four,bisto chāhār,۲۴,Numbers 1-100,
Twenty Five,bisto panj,۲۵,Numbers 1-100,
Twenty Six,bisto shesh,۲۶,Numbers 1-100,
Twenty Seven,bisto haft,۲۷,Numbers 1-100,
Twenty Eight,bisto hash,۲٨,Numbers 1-100,
Twenty Nine,bisto noh,۲٩,Numbers 1-100,
Thirty,si,۳۰,Numbers 1-100,
Forty,chehel,٤۰,Numbers 1-100,
Fifty,panjāh,۵۰,Numbers 1-100,
Sixty,shast,۶۰,Numbers 1-100,
Seventy,haftād,۷۰,Numbers 1-100,
Eighty,hashtād,۸۰,Numbers 1-100,
Ninety,navad,۹۰,Numbers 1-100,
One Hundred,sad,١۰۰,Numbers 1-100,
One Hundred,sad,۱٠٠,Numbers 100-900,
One Hundred and Ten,sado dah,۱۱٠,Numbers 100-900,
One Hundred and Twenty,sado bīst,۱۲٠,Numbers 100-900,
One Hundred and Thirty,sado sī,۱٣٠,Numbers 100-900,
One Hundred and Forty,sado chehel,۱۴٠,Numbers 100-900,
One Hundred and Fifty,sado panjāh,۱۵٠,Numbers 100-900,
One Hundred and Sixty Five,sado shāsto panj,۱۶۵,Numbers 100-900,
Two Hundred,devīst,۲٠٠,Numbers 100-900,
Three Hundred,sīsad,٣٠٠,Numbers 100-900,
Four Hundred,chāhārsad,۴٠٠,Numbers 100-900,
Five Hundred,pānsad,۵٠٠,Numbers 100-900,
Six Hundred,sheshsad,۶٠٠,Numbers 100-900,
Seven Hundred,haftsad,۷٠٠,Numbers 100-900,
Eight Hundred,hashtsad,٨٠٠,Numbers 100-900,
Nine Hundred,nohsad,٩٠٠,Numbers 100-900,
father (formal) ,pedar,پدر,Family,
father (informal/familiar),bābā,بابا,Family,
mother (formal),mādar,مادر,Family,
mother (informal/familiar), māmān,مامان,Family,
child,kudak/farzand/bache,کودک/ فرزند/ بچّه,Family,
wife,zan/khānom,زن/ خانم,Family,
husband,shohar,شوهر,Family,
spouse,hamsar,همسر,Family,
family,khânevâde,خانواده,Family,
parents,pedar va mādar,پدر و مادر,Family,
"son
boy",pesar,پسر,Family,
"daughter
girl",dokhtar,دختر,Family,
brother,barādar,برادر,Family,
sister,khāhar,خواهر,Family,
grandfather,pedarbozorg,پدربزرگ,Family,
grandmother,mādarbozorg,مادربزرگ,Family,
paternal uncle,amū,عمو,Family,
maternal uncle,dāee,دایی,Family,
maternal aunt,khaleh,خاله,Family,
paternal aunt,ameh,عمه,Family,
nephew (brother's side),pesar-e barādar,پسرِبرادر,Family,
nephew (sister's side),pesar-e khāhar,پسرِخواهر,Family,
niece (brother's side),dokhtar-e barādar,دخترِبرادر,Family,
niece (sister's side),dokhtar-e khāhar,دخترِِخواهر,Family,
cousin (paternal uncle’s son) ,pesar amū,پسر عمو,Family,
cousin (paternal aunt’s daughter) c,dokhtar ameh,دختر عمه,Family,
cousin (maternal uncle’s son) ,pesar dāee,پسر دایی,Family,
cousin (maternal aunt’s daughter),dokhtar khaleh,دختر خاله,Family,
relative,khīšāvand,خویشاوند,Family,
fiancé,nāmzad,نامزد,Family,
step-father,nāpedarī,ناپدری,Family,
step-mother,nāmādarī,نامادری,Family,
father-in-law (husband's side),pedarshohar,پدرشو,Family,
father-in-law (wife's side),pedarzan,پدرهر,Family,
mother-in-law (husband's side),mādarshohar,مادرشو,Family,
mother-in-law (wife's side),mādarzan,مادرهر,Family,
husband's brother (brother-in-law),barâdarshowhar,برادرشوهر,Family,
wife's brother (brother-in-law),barâdarzan,برادرزن,Family,
husband's sister (sister-in-law),khwâharshowhar,خواهرشوهر,Family,
wife's sister (sister-in-law),khwâharzan,خواهرزن,Family,
"husband of wife's sister (brother-in-law)
when two men marry two sisters, they become «bâjenâgh» of each other",bâjenâgh,باجناق,Family,
"wife of husband's brother (sister-in-law)
when two women marry two brothers, they become «jâri» of each other",jâri,جاری,Family,
"brother's child (nephew, niece)",barâdarzâde,برادرزاده,Family,
"sister's child (nephew, niece)",khwâharzâde,خواهرزاده,Family,
brother's son (nephew),pesar-e barâdar,پسر برادر,Family,
brother's son (nephew),pesar-e khwâhar,پسر خواهر,Family,
brother's daughter (niece),dokhtar-e barâdar,دختر برادر,Family,
brother's daughter (niece),dokhtar-e khwâhar,دختر خواهر,Family,
friend,dūst,دوست,Family,
boy friend,dūst-e pesar,دوست پسر,Family,
girl friend,dūst-e dokhtar,دوست دختر,Family,
grandfather,pedarbozorg,پدربزرگ,Family,
grandmother,mâdarbozorg,مادربزرگ,Family,
grandparents,pedarbozorg o mâdarbozorg,پدربزرگ و مادربزرگ,Family,
great grandfather,pedarjadd,پدرجد,Family,
great grandmother,mâdarjadd,مادرجد,Family,
grandchild,nave,نوه,Family,
great grandchild,natije,نتیجه,Family,
great great grandchild,nabire,نبیره,Family,
great great great grandchild,nadide,ندیده,Family,
daughter's husband (son-in-law),dâmâd,داماد,Family,
son's wife (daughter-in-law),arus,عروس,Family,
child of maternal uncle,dâyizâde,دایی‌زاده,Family,
son of maternal uncle (cousin),pesardâyi,پسردایی,Family,
daughter of maternal uncle (cousin),dokhtardâyi,دختردایی,Family,
wife of maternal uncle,zandâyi,زن‌دایی,Family,
child of maternal aunt,khâlezâde,خاله‌زاده,Family,
son of maternal aunt (cousin),pesarkhâle,پسرخاله,Family,
daughter of maternal aunt (cousin),dokhtarkhâle,دخترخاله,Family,
husband of maternal aunt,showharkhâle,شوهرخاله,Family,
child of paternal uncle,amuzâde,عموزاده,Family,
son of paternal uncle (cousin),pesaramu,پسرعمو,Family,
daughter of paternal uncle (cousin),dokhtaramu,دخترعمو,Family,
wife of paternal uncle,zanamu,زن‌عمو,Family,
child of paternal aunt,ammezâde,عمه‌زاده,Family,
son of paternal aunt (cousin),pesaramme,پسرعمه,Family,
daughter of paternal aunt (cousin),dokhtaramme,دخترعمه,Family,
husband of paternal aunt,showharamme,شوهرعمه,Family,
stepfather,nâpedari,ناپدری,Family,
stepmother,nâmâdari,نامادری,Family,
stepson,nâpesari,ناپسری,Family,
stepdaughter,nâdokhtari,نادختری,Family,
stepbrother,nâbarâdari,نابرادری,Family,
stepsister,nâkhwâhari,ناخواهری,Family,
consanguineous,tani,تنی,Family,
non-consanguineous,nâtani,ناتنی,Family,
adoptive father,pedarkhwânde,پدرخوانده,Family,
adoptive mother,mâdarkhwânde,مادرخوانده,Family,
adoptive son,pesarkhwânde,پسرخوانده,Family,
adoptive daughter,dokhtarkhwânde,دخترخوانده,Family,
adoptive brother,barâdarkhwânde,برادرخوانده,Family,
adoptive sister,khwâharkhwânde,خواهرخوانده,Family,
What is your favorite pastime?,sargarmī-e mored-e alāqe-ye shomā chīye?,سرگرمی مورد علاقه شما چیه؟,Personal Questions,
What is your telephone/cell phone number?,shomāre telephon/ telephon-e hamrāh-e shomā chande?,شماره تلفن/تلفن همراه شما چنده؟,Personal Questions,
What grade are you in?,kelās-e chandomī?,کلاس چندمی؟,Personal Questions,
How do you spell your last name?,fāmīl-e shomā rā chetorī mīnevīsand?,فامیل شما را چطوری می نویسند؟,Personal Questions,
How many siblings do you have?,chand tā khāhar vā barādar dārīd?,چند تا خواهر و برادر دارید؟,Personal Questions,
Where?,kojā?,کجا؟,Personal Questions,
When?,kay?,کِی؟,Personal Questions,
Who? What?,che kasī?/ kī che?,چه کسی؟/ کی؟ چه؟,Personal Questions,
How?,chegone?,چگونه؟,Personal Questions,
Which?,kodām?,کدام؟,Personal Questions,
Why?,cherā?,چرا؟,Personal Questions,
How many?,chand tā?,چند تا؟,Personal Questions,
to listen,gosh dādan,گوش دادن,Pastimes,
music,mūzīk,موزیک,Pastimes,
to sing,āvāz khādan,آواز خواندن,Pastimes,
to dance,raqsīdan,رقصیدن,Pastimes,
to read,khāndan/motale’ kardan,خواندن/مطالعه کردن,Pastimes,
to study,dars khāndan,درس خواندن,Pastimes,
to stay at home,dar khane māndan,در خانه ماندن,Pastimes,
to like,dūst dāshtan,دوست داشتن,Pastimes,
to watch television,televīzyon tamāshā kardan,تلویزیون تماشا کردن,Pastimes,
to telephone,telefon zadan/ telefon kardan,تلفن زدن/ تلفن کردن,Pastimes,
to speak,sohbat kardan/ harf zadan,صحبت کردن/ حرف زدن,Pastimes,
to play sports,varzesh kardan,ورزش کردن,Pastimes,
tennis,tenīs,تنیس,Pastimes,
soccer,fotbāl,فوتبال,Pastimes,
basketball,basketbāl,بسکتبال,Pastimes,
volleyball,vālībāl,والیبال,Pastimes,
to play the guitar,gītār zadan,گیتار زدن,Pastimes,
piano,pīyāno,پیانو,Pastimes,
violin,vīyolon,ویولُن,Pastimes,
dulcimer,santūr,سنتور,Pastimes,
