id|English|Pinglish|Farsi|Category|Difficulty
1|hello/hi|salām|سلام|Greetings|Easy
2|Mrs./Miss|khānom|خانم|Greetings|Easy
3|Mr.|āqā|آقا|Greetings|Easy
4|Good morning|sob bekheīr|صبح بخیر|Greetings|Easy
5|Good night|shab bekheīr|شب بخیر|Greetings|Easy
6|Good bye|khodā hāfez|خداحافظ|Greetings|Easy
7|How are you? (formal)|hāle shomā chetor ast?|حال شما چطور است؟|Greetings|Easy
8|How are you? (colloquial/familiar)|hāle shomā chetore?|حال شما چطوره؟|Greetings|Easy
9|Thank you|mercī||Greetings|Easy
10|Thank you|motshakeram|متشکرم|Greetings|Easy
11|(and) how are you? (formal)|shomā chetor hastīd?|شما چطور هستید؟|Greetings|Easy
12|(and) how are you? (colloquial/familiar)|shomā chetorīn?|شما چطورین؟|Greetings|Easy
13|(and) how are you? (colloquial/familiar)|to chetorī?|تو چطوری؟|Greetings|Easy
14|I am fine, too. (formal)|man ham khūb hastam|من هم خوب هستم|Greetings|Easy
15|I am fine, too. (colloquial/familiar)|manam khūbam|منم خوبم|Greetings|Easy
16|Excuse me|bebakhshīd|ببخشید|Greetings|Easy
17|I am John.|man jān hastam|من جان هستم|Introducing Yourself|Easy
18|My name is John.|esm-e man jān ast.|اسم من جان است|Introducing Yourself|Easy
19|What is your name? (formal)|esm-e shomā chīst?|اسم شما چیست؟|Introducing Yourself|Easy
20|What is your name? (colloquial)|esm-e shomā chīye?|اسم شما چیه؟|Introducing Yourself|Easy
21|Pleased to meet you.|khoshvaqtam|خوشوقتم|Introducing Yourself|Easy
22|How old are you?|chand sāletone?|چند سالتونه؟|Introducing Yourself|Easy
23|Where do you live?|kojā zendegī mīkonīd?|کجا زندگی می کنید؟|Introducing Yourself|Easy
24|Where do you go to school?|kojā dars mīkonīd?|کجا درس می خوانید؟|Introducing Yourself|Easy
25|What do you do for a living?|che kār mīkonīd? shoγletān chīst?|چه کار می کنید؟|Introducing Yourself|Easy
26|What do you do for a living?|shoγletān chīst?|شغلتان چیست؟|Introducing Yourself|Easy
27|college student|dāneshjo|دانشجو|Introducing Yourself|Easy
28|professor|ostād|استاد|Introducing Yourself|Easy
29|teacher|moalem|معلم|Introducing Yourself|Easy
30|doctor|doktor|دکتر|Introducing Yourself|Easy
31|engineer|mohandes|مهندس|Introducing Yourself|Easy
32|dentist|dandānpezeshk|دندانپزشک|Introducing Yourself|Easy
33|journalist|roznāme negār|روزنامه نگار|Introducing Yourself|Easy
34|pre-college student|dānesh āmoz|دانش آموز|Introducing Yourself|Easy
35|architect|memār/ārshītekt|معمار/آرشیتکت|Introducing Yourself|Easy
36|lawyer|vakīl|وکیل|Introducing Yourself|Easy
37|nurse|parastar|پرستار|Introducing Yourself|Easy
38|to live|zendegī kardan|زندگی کردن|Introducing Yourself|Easy
39|to introduce|moarefī kardan|معرفی کردن|Introducing Yourself|Easy
40|to count|shomordan|شمردن|Introducing Yourself|Easy
41|Zero|sefr|۰|Numbers 1-100|Easy
42|One|yek|١|Numbers 1-100|Easy
43|Two|do|۲|Numbers 1-100|Easy
44|Three|se|۳|Numbers 1-100|Easy
45|Four|chāhār|۴|Numbers 1-100|Easy
46|Five|panj|۵|Numbers 1-100|Easy
47|Six|shesh|۶|Numbers 1-100|Easy
48|Seven|haft|۷|Numbers 1-100|Easy
49|Eight|hasht|۸|Numbers 1-100|Easy
50|Nine|noh|۹|Numbers 1-100|Easy
51|Ten|dah|۱۰|Numbers 1-100|Easy
52|Eleven|yāzdah|۱۱|Numbers 1-100|Easy
53|Twelve|davāzdah|۱۲|Numbers 1-100|Easy
54|Thirteen|sizdah|۱۳|Numbers 1-100|Easy
55|Fourteen|chāhārdah|۱۴|Numbers 1-100|Easy
56|Fifteen|pānzdah|۱۵|Numbers 1-100|Easy
57|Sixteen|shānzdah|۱۶|Numbers 1-100|Easy
58|Seventeen|hefdah/hevdah|۱۷|Numbers 1-100|Easy
59|Eighteen|hejdah/hezhdah|۱۸|Numbers 1-100|Easy
60|Nineteen|nūzdah|۱۹|Numbers 1-100|Easy
61|Twenty|bist|۲۰|Numbers 1-100|Easy
62|Twenty One|bisto yek|۲۱|Numbers 1-100|Easy
63|Twenty Two|bisto do|۲۲|Numbers 1-100|Easy
64|Twenty Three|bisto se|۲٣|Numbers 1-100|Easy
65|Twenty Four|bisto chāhār|۲۴|Numbers 1-100|Easy
66|Twenty Five|bisto panj|۲۵|Numbers 1-100|Easy
67|Twenty Six|bisto shesh|۲۶|Numbers 1-100|Easy
68|Twenty Seven|bisto haft|۲۷|Numbers 1-100|Easy
69|Twenty Eight|bisto hash|۲٨|Numbers 1-100|Easy
70|Twenty Nine|bisto noh|۲٩|Numbers 1-100|Easy
71|Thirty|si|۳۰|Numbers 1-100|Easy
72|Forty|chehel|٤۰|Numbers 1-100|Easy
73|Fifty|panjāh|۵۰|Numbers 1-100|Easy
74|Sixty|shast|۶۰|Numbers 1-100|Easy
75|Seventy|haftād|۷۰|Numbers 1-100|Easy
76|Eighty|hashtād|۸۰|Numbers 1-100|Easy
77|Ninety|navad|۹۰|Numbers 1-100|Easy
78|One Hundred|sad|١۰۰|Numbers 1-100|Easy
79|One Hundred|sad|۱٠٠|Numbers 100-900|Easy
80|One Hundred and Ten|sado dah|۱۱٠|Numbers 100-900|Easy
81|One Hundred and Twenty|sado bīst|۱۲٠|Numbers 100-900|Easy
82|One Hundred and Thirty|sado sī|۱٣٠|Numbers 100-900|Easy
83|One Hundred and Forty|sado chehel|۱۴٠|Numbers 100-900|Easy
84|One Hundred and Fifty|sado panjāh|۱۵٠|Numbers 100-900|Easy
85|One Hundred and Sixty Five|sado shāsto panj|۱۶۵|Numbers 100-900|Easy
86|Two Hundred|devīst|۲٠٠|Numbers 100-900|Easy
87|Three Hundred|sīsad|٣٠٠|Numbers 100-900|Easy
88|Four Hundred|chāhārsad|۴٠٠|Numbers 100-900|Easy
89|Five Hundred|pānsad|۵٠٠|Numbers 100-900|Easy
90|Six Hundred|sheshsad|۶٠٠|Numbers 100-900|Easy
91|Seven Hundred|haftsad|۷٠٠|Numbers 100-900|Easy
92|Eight Hundred|hashtsad|٨٠٠|Numbers 100-900|Easy
93|Nine Hundred|nohsad|٩٠٠|Numbers 100-900|Easy
94|father (formal) |pedar|پدر|Family|Easy
95|father (informal/familiar)|bābā|بابا|Family|Easy
96|mother (formal)|mādar|مادر|Family|Easy
97|mother (informal/familiar)| māmān|مامان|Family|Easy
98|child|kudak/farzand/bache|کودک/ فرزند/ بچّه|Family|Easy
99|wife|zan/khānom|زن/ خانم|Family|Easy
100|husband|shohar|شوهر|Family|Easy
101|spouse|hamsar|همسر|Family|Easy
102|family|khânevâde|خانواده|Family|Easy
103|parents|pedar va mādar|پدر و مادر|Family|Easy
104|son/boy|pesar|پسر|Family|Easy
105|daughter/girl|dokhtar|دختر|Family|Easy
106|brother|barādar|برادر|Family|Easy
107|sister|khāhar|خواهر|Family|Easy
108|grandfather|pedarbozorg|پدربزرگ|Family|Easy
109|grandmother|mādarbozorg|مادربزرگ|Family|Easy
110|paternal uncle|amū|عمو|Family|Easy
111|maternal uncle|dāee|دایی|Family|Easy
112|maternal aunt|khaleh|خاله|Family|Easy
113|paternal aunt|ameh|عمه|Family|Easy
114|nephew (brother's side)|pesar-e barādar|پسرِبرادر|Family|Easy
115|nephew (sister's side)|pesar-e khāhar|پسرِخواهر|Family|Easy
116|niece (brother's side)|dokhtar-e barādar|دخترِبرادر|Family|Easy
117|niece (sister's side)|dokhtar-e khāhar|دخترِِخواهر|Family|Easy
118|cousin (paternal uncle’s son) |pesar amū|پسر عمو|Family|Easy
119|cousin (paternal aunt’s daughter) c|dokhtar ameh|دختر عمه|Family|Easy
120|cousin (maternal uncle’s son) |pesar dāee|پسر دایی|Family|Easy
121|cousin (maternal aunt’s daughter)|dokhtar khaleh|دختر خاله|Family|Easy
122|relative|khīšāvand|خویشاوند|Family|Easy
123|fiancé|nāmzad|نامزد|Family|Easy
124|step-father|nāpedarī|ناپدری|Family|Easy
125|step-mother|nāmādarī|نامادری|Family|Easy
126|father-in-law (husband's side)|pedarshohar|پدرشو|Family|Easy
127|father-in-law (wife's side)|pedarzan|پدرهر|Family|Easy
128|mother-in-law (husband's side)|mādarshohar|مادرشو|Family|Easy
129|mother-in-law (wife's side)|mādarzan|مادرهر|Family|Easy
130|husband's brother (brother-in-law)|barâdarshowhar|برادرشوهر|Family|Easy
131|wife's brother (brother-in-law)|barâdarzan|برادرزن|Family|Easy
132|husband's sister (sister-in-law)|khwâharshowhar|خواهرشوهر|Family|Easy
133|wife's sister (sister-in-law)|khwâharzan|خواهرزن|Family|Easy
134|husband of wife's sister (brother-in-law)|bâjenâgh|باجناق|Family|Easy
135|wife of husband's brother (sister-in-law)|jâri|جاری|Family|Easy
136|brother's child (nephew, niece)|barâdarzâde|برادرزاده|Family|Easy
137|sister's child (nephew, niece)|khwâharzâde|خواهرزاده|Family|Easy
138|brother's son (nephew)|pesar-e barâdar|پسر برادر|Family|Easy
139|brother's son (nephew)|pesar-e khwâhar|پسر خواهر|Family|Easy
140|brother's daughter (niece)|dokhtar-e barâdar|دختر برادر|Family|Easy
141|brother's daughter (niece)|dokhtar-e khwâhar|دختر خواهر|Family|Easy
142|friend|dūst|دوست|Family|Easy
143|boy friend|dūst-e pesar|دوست پسر|Family|Easy
144|girl friend|dūst-e dokhtar|دوست دختر|Family|Easy
145|grandfather|pedarbozorg|پدربزرگ|Family|Easy
146|grandmother|mâdarbozorg|مادربزرگ|Family|Easy
147|grandparents|pedarbozorg o mâdarbozorg|پدربزرگ و مادربزرگ|Family|Easy
148|great grandfather|pedarjadd|پدرجد|Family|Easy
149|great grandmother|mâdarjadd|مادرجد|Family|Easy
150|grandchild|nave|نوه|Family|Easy
151|great grandchild|natije|نتیجه|Family|Easy
152|great great grandchild|nabire|نبیره|Family|Easy
153|great great great grandchild|nadide|ندیده|Family|Easy
154|daughter's husband (son-in-law)|dâmâd|داماد|Family|Easy
155|son's wife (daughter-in-law)|arus|عروس|Family|Easy
156|child of maternal uncle|dâyizâde|دایی‌زاده|Family|Easy
157|son of maternal uncle (cousin)|pesardâyi|پسردایی|Family|Easy
158|daughter of maternal uncle (cousin)|dokhtardâyi|دختردایی|Family|Easy
159|wife of maternal uncle|zandâyi|زن‌دایی|Family|Easy
160|child of maternal aunt|khâlezâde|خاله‌زاده|Family|Easy
161|son of maternal aunt (cousin)|pesarkhâle|پسرخاله|Family|Easy
162|daughter of maternal aunt (cousin)|dokhtarkhâle|دخترخاله|Family|Easy
163|husband of maternal aunt|showharkhâle|شوهرخاله|Family|Easy
164|child of paternal uncle|amuzâde|عموزاده|Family|Easy
165|son of paternal uncle (cousin)|pesaramu|پسرعمو|Family|Easy
166|daughter of paternal uncle (cousin)|dokhtaramu|دخترعمو|Family|Easy
167|wife of paternal uncle|zanamu|زن‌عمو|Family|Easy
168|child of paternal aunt|ammezâde|عمه‌زاده|Family|Easy
169|son of paternal aunt (cousin)|pesaramme|پسرعمه|Family|Easy
170|daughter of paternal aunt (cousin)|dokhtaramme|دخترعمه|Family|Easy
